Date,Sentimento,Text
2018-04-24 01:58:08,A FAVOR,"@portalR7 Sem apoio? Sem visita, por que proíbem. R7 vá se tratar.  #LulaLivre"
2018-04-24 01:57:30,A FAVOR,"Retweeted Mídia NINJA (@MidiaNINJA):

Matinho da Vila também quer fazer uma visita a Lula! #LulaLivre https://t.co/uktOh7KZGh https://t.co/a0ubFWCgBL"
2018-04-24 01:57:25,A FAVOR,"Mais claro do que é isso impossível  
#LulaPresoPolitico 
#LulaPresidente 
#LulaLivre 
#LulaLivreJá https://t.co/K9vlaZd04J"
2018-04-24 02:30:58,CONTRA,"@teleSURtv @unasur @evoespueblo #FakeNews sério? Estabilidade? Evo tem mesmo plano fake sobre estabilidade política, econômica, social e cultural aplicada pelo amiguinho Lula da Silva, q afundou o Brasil, tá preso e com + 7 processos 🙄😏 🇧🇷💚#ForaComunismo #LulaPreso #ForaEvoMorales #PTNuncaMAIS 
#FimUNASUL"
2018-04-24 02:09:31,CONTRA,"@VEJA Se soltar este cara...eu quero só ver  qual a posição das Forças Armadas juntamente com a população.
Ou a gente mostra pra esta corja quem manda ou vamos ter que viver debaixo do domínio deste comunistas...
#LulaPreso"
2018-04-24 01:59:36,CONTRA,"Pq o @BlogdoJuca sempre coloca política no meio da discussão? Alô @ESPNagora, já passou da hora de rever isso. Assistindo ESPN por esporte e não por política. #linha2 #LulaPreso"
2018-04-24 01:57:48,CONTRA,"Pergunta que não quer calar... Lula tem nudes desses caras do STF?

Que safadinho!

#LulaPreso"
2018-04-24 01:54:44,CONTRA,@Estadao @fausto_macedo A bandidagem chega a tremer!!! Kkkkkkkk #moro #lulapreso
2018-04-24 01:50:03,CONTRA,"Veja só como ela faz aparentar ser a “boa p/todos”, inclusive na proteção da imagem do #LulaPreso. Ela vive na obscuridade durante 4 anos e ressurge na eleição para tentar ludibriar a nação a cair no inferno comunista desses esquerdopatas. Quem tem coragem de votar nessa demente? https://t.co/eihfL2uLSb"
2018-04-24 01:36:45,CONTRA,"#SOSBrasil
Alô @exercitooficial @Gen_VillasBoas 
@geraldomiotto 
@GenPauloChagas 
Não permitam esse 
ABUSO essa palhaçada do @STF_oficial 
#LulaPreso https://t.co/HlZ41S1UD2"
2018-04-24 01:29:13,CONTRA,@leandroruschel Hoje mesmo estava assistindo a entrevista no @programapanico com o @flaviomorgen (dia 03/04/18) onde o @cariocadelegado profetizou isso! É O Mecanismo trabalhando! Nenhuma surpresa! #LULApreso significa o sistema em colapso nos próximos anos e mais dezenas de políticos presos.
2018-04-24 01:23:18,CONTRA,"A PF ficou com medo de ser acusada de tortura... melhor ficar no 9 contra 1 do que encarar a Gleisi e Dilma juntas.
#lulalivre #torturanão #lulapreso https://t.co/6g0lWgar32"
2018-04-24 01:10:20,CONTRA,"@emirsader @LeonardoBoff Ele é sóbrio e executa o trabalho dele de forma honesta, apenas isso. Diferente do seu deus #LulaPreso, que sugou os recursos do povo e colocou o país em uma situação degradante. Delira não devoto."
2018-04-24 00:58:42,CONTRA,Presidiário e corrupto Lula é desmascarado pela ONU. Estudo comprova uma década e meia de mentiras do PT. #LulaPreso #ImprensaViva https://t.co/TRPJFeyjPa
2018-04-24 00:50:05,CONTRA,Querem acabar com a farra das visitas ao condenado #LulaPreso é só a @policiafederal começar a fazer revista íntima nos visitantes.🤔💩
2018-04-24 00:48:37,CONTRA,@Estadao Só mesmo estes BURROS IGNORANTES DO PT para insistirem nisso. Ele está preso. E mesmo se não estivesse já entraria na ficha limpa. Cambada de PTralhas. #LulaNaCadeia #LulaPreso #PTacabou
2018-04-24 00:42:49,CONTRA,@SPD_33 Podia ser transferido para uma cela comum. Ia sentir o calor humano. Ele não se considera do povo? #LulaPreso #lulanacadeia
2018-04-24 00:26:04,CONTRA,"@Rconstantino Tem q acabar mesmo com essa palhaçada, Lula é um bandido e está preso e deve ser tratado da mesma maneira como todo marginal! #LulaPreso"
2018-04-24 00:04:54,CONTRA,"@lindberghfarias “Arbitrariedade”, leia-se “sou otoridade e quero ter mais direitos q os outros”. Como dizem por aí, Não é Não. #LulaPreso"
2018-04-24 00:03:42,CONTRA,Isso ja ta virando vergonha alheia... #LulaPreso #Lula https://t.co/pHcohH2Vdz
2018-04-24 00:00:54,CONTRA,A sociedade tinha todo o direito de saber o que estava sendo tramado para salvar o #LulaPreso e o Juiz Sérgio Moro agiu em favor da sociedade brasileira. https://t.co/nYDtiTBfmv
2018-04-23 23:52:28,CONTRA,@JornalOGlobo Também quero visitar #LulaPreso vou fazer inspeção já que ele está usando dinheiro público.
2018-04-23 23:51:03,CONTRA,"Eles ficam bem quietinhos para não chamar a atenção, querem parecer despercebidos, por eles nem iriam visitar o pai #LulaPreso https://t.co/7CsKf6Z9eY"
2018-04-23 23:45:02,CONTRA,"@Estadao Esse PAÍS é  uma piada.#lulapreso
#naoreelejaladrao
#somostodosmoro"
2018-04-23 23:20:45,CONTRA,Alguém avisa ao #WadihDamous que a dívida da #Eletrobras foi adquirido pela “finada” #Dilma quando canetou o preço da energia?!?! #PTNuncaMais #PTPraQue #LulaNaCadeia #LulaPreso
2018-04-23 23:20:35,CONTRA,"@gleisi A  carceragem da @policiafederal virou parque pra se fazer picnic ?
#LulaPreso"
2018-04-23 23:15:21,CONTRA,"@MidiaNINJA @lindberghfarias Uma solidariedade incrível. Todos os cidadãos de bem torcendo para que ele cumpra integralmente 1 1/6 da pena e, que faça uma falcatrua quando da mudança de regime. Assim irá cumprir o resto da pena no regime fechado. #LulaLivre #LulaPreso #DEMOCRACIAFAKE https://t.co/8uhyx0fQQW"
2018-04-23 23:14:40,CONTRA,"@HumbertoReisJr Alguém informa esse zero q O PTralha tá presooooo, eles ainda não entenderam isso, coisa antipática #LulaNaCadeia #LulaPreso"
2018-04-23 23:09:31,CONTRA,@gsamogin @nathalhices @LulapeloBrasil Chata pra caralheooo essas crianças de hj em dia! Vc teve paciência cara! 😅 #LulaPreso
2018-04-23 23:09:02,CONTRA,"@Estadao @fausto_macedo Manda um urso de pelúcia que faz o mesmo efeito.
#LulaLivre #LulaPreso #DEMOCRACIAFAKE #OcupaCuritiba15odia"
2018-04-23 23:08:00,CONTRA,"@fe_bahia @vlopessoares @KaysarDadour Apoia o roubo do Lula é sua corja,e a analfabeta política sou eu??
Então tá! Melhor ser isso do que conivente com ladrões condenados. 
#LulaPreso  e que venha o Aécio também pra dividir a cela. ⚘💋"
2018-04-23 23:04:44,CONTRA,@pauloteixeira13 @LulapeloBrasil #LulaPreso #LulaNaCadeia @STF_oficial lugar de CORRUPTOS é na cadeia
2018-04-23 23:01:49,CONTRA,"@gleisi BREVE SUA SELA TE RECEBERÁ, CALMA SUA HORA VAI CHEGAR QUERIDA, SE  PREFERIR SONHAR, É MELHOR JAIR SE ACOSTUMANDO #######LulaPreso"
2018-04-23 23:01:22,CONTRA,@LulapeloBrasil acabou o circo...chega de PALHAÇADA #LulaPreso #NãoTemVisita #SóFamilia https://t.co/lUYUcomgt5
2018-04-23 22:59:22,CONTRA,"#LulaValeALuta ‼️
#LulaPreso⁉️
#LulaNaCadeia ❓

               #LulaLivre  

                     &amp;

                        #Lula2018✍️✔️

Que falta fazem os #ConselhosPopulares
em substituição a este #INEPTO #Legislativo #fail
&amp; #corrupto...

#WakeUp #BraSil"
2018-04-23 22:54:51,CONTRA,"Não há outra alternativa a não ser prendê-los.Insistem em desafiar a lei,AS REGRAS, justam/ p/ gerar conflitos,tumultuar e tentar salvar a imagem deste BANDIDO IGNORANTE que eles resolveram tornar ídolo esquerdeopata.São FORA DA LEI e criarão confusão o tempo todo,#LulaPreso https://t.co/goTUdE8nSm"
2018-04-23 22:54:32,CONTRA,"@o_antagonista Que meda a @policiafederal deve ter dele! O Senhor não trabalha @depPauloPimenta ? A única coisa que alguns políticos têm no cabeção é invadir. Invasão de casas, prédios, terras e agora celas? Que paixão foi essa? Vá trabalhar que não terá tempo de pensar em besteira. #lulapreso"
2018-04-23 22:49:04,CONTRA,"A decisão, @gleisi, foi escorreita e baseada na legislaçãoem vigor, e vocês não sabem o que é respeitar a Lei! #LulaPreso

 https://t.co/MKo262j53I"
2018-04-23 22:42:44,CONTRA,"Quando você se sentir um idiota, leia esta lista. 

#LulaPreso #LulaLadrão https://t.co/w0ygqpc57A"
2018-04-23 22:42:07,CONTRA,"Ela não quis, nenhum deles quis, visitar Lula na verdade. Tudo é parte de um roteiro, encenação de uma história sendo construída e filmada. Veremos o uso nos próximos meses. #LulaPreso https://t.co/mtqjoA3kEL"
2018-04-23 22:39:30,CONTRA,@exame É a Lei. #LULAPRESO
2018-04-23 22:39:01,CONTRA,@folha Saporra né festa não ô broaca...É cadeia. O cara é um criminoso condenado...@dilmabr é muito imbecil...#LULAPRESO
2018-04-23 22:39:01,CONTRA,"Pois é..... 17 dias de prisão do Molusco... até que tá durando hein!!!
#LulaPreso #LulaLadrão #lulanaprisao"
2018-04-23 22:37:51,CONTRA,"Por quê não transferem Lula p/uma penitenciária normal?Quanto++privilégios ele têm++os petralhas/esquerdeopatas desacatam a justiça,ameaçam,mas sobretudo CRIAM SITUAÇÕES P/PARECER EXATAM/O CONTRÁRIO,que Lula não está bem acomodado.ComissãoDireitosHumanos já foi INSULTO!#LulaPreso"
2018-04-23 22:37:29,CONTRA,@o_antagonista Que vá ...e que fique...#LULAPRESO
2018-04-23 22:20:05,CONTRA,"@gleisi Estamos pensando que a  @policiafederal  é extensão do @ptbrasil ... VAO TRABALHAR CANBADA DE VAGABNDOS, LULA VAI MORRER NA CADEIA, LEMBREM-SE QUE ELE AINDA RESPONDE À VARIOS PROCESSOS...@lindberghfarias  #LULAPRESO #LULAPOLITICOPRESO"
2018-04-23 22:19:48,CONTRA,@lindberghfarias Chora Lindinho. O choro é livre. Lula não. #lulapreso #BolsonaroPresidente
2018-04-23 22:19:06,CONTRA,"@clagraca @Fabio_Lopes_BJJ @ManuelaDavila Não maior q a quadrilha formada pelo seu deus máximo! #Lulapreso chupando cana! É não entorna 51!😂 a abstinência de alcoólatra mata, infelizmente vaso ruim não quebra!"
2018-04-23 22:18:31,CONTRA,"@nesimachado @LG_CAM @lindberghfarias Verdade. Desejo q o Lula se torne o novo Mandela. Pra começar, ele deve ficar 40 anos trancado. Depois q sair, pode se candidatar à presidência. Eu apoio. #lulapreso #PTfascista #BolsonaroPresidente"
2018-04-23 22:17:22,CONTRA,"Porque não leva logo ao presídio? Lá tem uma galera que ele pode ""socializar"".
Ou você Lindemberg abre logo mão do seu cargo do senado, perde o foro privilegiado e se junta a ele ... Simples assim !!!
#ExtincaoDoPT 
#Lulapreso
#FimDoForoPrivilegiado 
#RespeitaOMoro https://t.co/GcV38EV6df"
2018-04-23 22:12:55,CONTRA,@tomfm_ Sei mt bem como é. Eu tb apoiei essa desgraça. Votei n Lula mts vezes. Até q percebi o q a esquerda estava fazendo com o 🇧🇷. Procurei estudar mais sobre o tema. Hj vejo o mal q fizeram e o projeto d poder maldito p o povo. Esquerda nunca mais. #lulapreso #BolsonaroPresidente
2018-04-23 22:11:58,CONTRA,"Só rindo de gente q escreve esse tipo de bobagem! Como se ter algum artista ao seu lado fosse garantia de inteligência. Depende de como o suposto artista pensa, escreve e age.
#LulaPreso
#GleisiTerrorista
#LindberghOtário https://t.co/WBZC8NK7qc"
2018-04-23 22:04:42,CONTRA,"@lindberghfarias E o que Dilma, Gleisi e Esquivel tem de especial?! São algum tipo de Anjos da Guarda?! Gleisi daqui a pouco, com o tanto de merda que tá falando, vai ser companheira de cela! Relaxa! Nem se preocupe! Deveria provar as palavras escritas aí! Só acho! #LulaPreso"
