Sentimento,Text
A FAVOR,#ONUGARANTELULA Quando vamos viver num país feliz de novo! #LulaLivre  #MoroNaCadeia
A FAVOR,"#ONUGaranteLula e a justiça brasileira reajusta de novo, seu proprio salário!! 
#LulaLivre"
A FAVOR,Desisto desse país.  Tem jeito mesmo não.  O povo escolhe uma merda de deputado desse. Sem comentários.  #LulaLivre https://t.co/UFCNcuRUVr
A FAVOR,"Vale pra todos: Não invistam num país fascista!!!!!
#ONUGaranteLula
#LulaLivre #LulaPresidente #LulaManuHaddad #OBrasilFelizDeNovo https://t.co/U1HDxkRwFy"
A FAVOR,"Para meus coleguinhas golpistas, oq acham agr do CNDH falando q o brasil tem q cumprir a decisão da ONU??? #LulaLivre  #ONUGaranteLula https://t.co/xfhcoYsJuG"
A FAVOR,"Tem candidato que não consegue ter uma ideia original, né? #eleicoes2018 #LulaLivre #ONUGaranteLula #SimaoPedro13555 https://t.co/8uSRc2POHx"
A FAVOR,O que eu acho mais bonito das #Lulalivre é que a galera realmente acredita que tava melhor antes né? Tava uma bosta antes vai continuar uma bosta com qualquer um que suba a rampa. Que droguinha essa galera dir/esq usa?pq eu não tô conseguindo colar nessa vibe não malandro! 🤣🤣🤣
A FAVOR,"#LulaLivre
VÍDEO – Jornalista novaiorquino analisa perseguição a Lula: “Há uma parte enraizada na sociedade que quer impedi-lo de concorrer” https://t.co/LDtZV16eSg via @iG"
A FAVOR,#ONUGaranteLula Não tem plano B! Até a ONU já declarou que @LulaOficial é candidato. O Brasil não pode desprezar o Estado de Direito #LulaLivre #LulaPresidente #ONUGaranteLula https://t.co/SWdOPVMuyw
A FAVOR,é #LulaLivre sim meu amô!! não gostou? DEITA NA BR..
A FAVOR,@Eliel19287399 @marciatiburi Se isso é ser cafona l que tu tens com isso?  #LulaLivre #ForaSartori
A FAVOR,"@RedeGlobo GOLPISTA !
@STF_oficial subservientes da Globo 💩
#LulaLivre 
#LulaPresidente 
#OBrasilFelizDeNovo https://t.co/Wo8kPB110Y"
A FAVOR,Blog do Liberato - #Lulalivre!: Lewandowski manda soltar condenado em 2ª instância... https://t.co/fc1seN9tbA
A FAVOR,"Pesquisa rápida, Em quem você irá votar para presidente?
#EnquetePresidenciaveis #JairBolsonaro #LulaLivre #cirogomes #MarinaSilva18"
A FAVOR,"Semideuses de capas pretas aumentam o próprio salário, negociam o aumento com um presidente ilegítimo e investigado e em resposta aprovam o inferno da terceirização para os lascados e vão vetar a candidatura de #LulaLivre."
A FAVOR,"Paty está de parabéns pela oficina maravilhosa que ela apresentou!!! Liberdade de expressão, lugar de fala e diversidade. 🌈
#PatyQuebraBarraco #LulaLivre"
A FAVOR,"#ONUGARANTELULA  Barroso é obrigado a cumprir a lei! Se fizer o contrário, será mais um que será jogado no lixo da história. #LulaLivre  #MoroNaCadeia"
A FAVOR,"Eu espero muito que o Lula vença e todo mundo que falava mal dele pague com a lingua, pq se for com o Bolsonaro eles tbm vão pagar, pq vão vê q ele não é nada do que mostrou durante a campanha. Enfim um vai ser de forma ruim e outra de forma boa. #LulaLivre #ONUGaranteLula"
A FAVOR,"As definições de ""capitalismo selvagem"" foram atualizadas com sucesso! 

#terceirizaçãoirrestrita #nenhumdireitoamenos
#LulaManuHaddad
#LulaPresidente
#OBrasilFelizDeNovo
#LulaLivre
#LulaLivreJá
#FREELULA
#nenhumdireitoamenos"
A FAVOR,LulaValeALuta LulaeuConfio LulaInocente LulaPresidente #LulaLivre https://t.co/JFy1fp4mNP
A FAVOR,"@LulaOficial tem direito de ser candidato. O povo quer. A lei garante. #ONUgaranteLULA
#lulalivre"
A FAVOR,"Enquanto Bolsominions comemoram apoio de Andressa Urach, Lula recebe apoio da ONU. Não sabe brincar, não desce pro play. #ONUGaranteLula
#LulaLivre #LulaPresidente https://t.co/bfGsQxcm6G"
A FAVOR,"#ONUGaranteLula Muita coisa no Brasil está ruim, está desolador. Mas não é com estado mínimo, que isso se resolverá. Estou desempregado há quase 3 anos e não encontro estágio, mas não foi com uma reforma trabalhista que isso mudou. #LulaLivre #LulaPresidente"
A FAVOR,#ONUGARANTELULA Se o Presidente Lula disputar as eleições vencerá no 1º turno e daí o golpe jurídico-midiático acaba. É isso que temem os homens e mulheres da toga. #LulaLivre
A FAVOR,Por um Brasil feliz de novo! &lt;3 #ONUGaranteLula  #LulaLivre
A FAVOR,LulaValeALuta LulaeuConfio LulaInocente LulaPresidente Único atalho para parar o GOLPE contra o POVO e a Soberania Nacional LulaDeAaZ até às últimas consequências #LulaLivre https://t.co/b9LOcKt121
A FAVOR,"Líder alemão, ex-presidente do Parlamento Europeu, vem a Curitiba visitar #Lula.
https://t.co/s5QW71cK5v
*
#Lula2018 #LulaLivre"
A FAVOR,"@Haddad_Fernando Só @Lula tem, mesmo sendo preso político, tanto prestígio!
Nunca antes na história desse país, houve um líder político com tanta força política tanto reconhecimento internacional. Pessoa ilustre do nosso Brasil!👏👏👏👏👏👏
#LulaLivre #LulaPresidente"
A FAVOR,Que todos tenham a oportunidade e o direito de escolha. Eu escolho Lula! #ONUGaranteLula #LulaLivre https://t.co/1CYq1PDk3N
A FAVOR,"#ONUGARANTELULA  A ONU não está pedindo, mas sim determinando que as autoridades brasileiras cumpram a decisão do Comitê de Direitos Humanos das Nações Unidas. Chega de passividade. Mobilização já! #LulaLivre"
A FAVOR,"Isso e o rolê do @Pontifex_pt, que nunca falou nada em favor do mesmo, nem #lulalivre nem #luladrão, mas um bando de gente que nunca foi numa catequese enche a boca pra falar como a estrutura midiática do Vaticano funciona pra tentar defender a tese favorita, vsf."
A FAVOR,#ONUGaranteLula Os golpistas estão nus #lulalivre #foragolpistas #lulacandidatosim https://t.co/LRvgqC8Caj
A FAVOR,LulaValeALuta LulaeuConfio LulaInocente Único único que pode fazer o Brasil voltar a ser SOBERANO FELIZ TER DIREITOS DESENVOLVIMENTO SONHOS Empregos #ONUGARANTELULA  #LulaLivre https://t.co/g4v3alW0Pk
A FAVOR,"O #TBT de hoje é especial. Confira os bastidores da marcha que moveu o Brasil pelo registro da candidatura de Lula no dia 15 de agosto. Em uma só voz, em um só grito: #LulaLivre! #OBrasilFelizDeNovo

Imagens:... https://t.co/Lpsjfdxauv"
A FAVOR,"Não há dúvida de que o eleitor brasileiro, em sua maioria, quer @LulaOficial na eleição #ONUGaranteLula #FreeLula #LulaLibre #LulaLivre"
A FAVOR,#ONUGARANTELULA e o Brasil vai pagar caro se descumprir a decisão da ONU. #LulaLivre
A FAVOR,hoje joao felipe colou o adesivo do #lulalivre em pimenta e foi o melhor momento do ano
A FAVOR,"#ONUGARANTELULA Queremos viver novamente num país soberano, assim como era no Governo Lula. #LulaLivre  #MoroNaCadeia"
A FAVOR,Excelente entrevista no @elpais_brasil com @renatodatapop sobre as eleições que mostra que no cenário com Lula preso ou #LulaLivre ele vai ser um fator decisor no resultado. https://t.co/tFqvoK3gK5
A FAVOR,O Brasil quer Lula #Lulalivre #LulaPresidente  #ONUGaranteLula
A FAVOR,"#ONUGaranteLula 👏👏👏
Quantos likes merece esta bela imagem? 👍
#LulaLivreJá 
#LulaPresidente 
#LulaLivre https://t.co/kmsBHYZT8Y"
A FAVOR,Apoio internacional a Lula: líder alemão vai a Curitiba | Brasil 247. #LulaLivre https://t.co/b9FCCRRHNO
A FAVOR,"#Expeditovelososo1312 O Por quê do nosso Comitê Central no Guará
#lulapresidente #lulalivre https://t.co/iinDSwcTxY"
A FAVOR,Blog do Liberato - #Lulalivre!: Ministros do TSE têm salário aumentado antes de ju... https://t.co/4rTz7DRzto
A FAVOR,#ONUGARANTELULA Os ditadores togados do TSE e STF não têm o direito de cassar a vontade popular. A maioria do povo quer #LulaLivre
A FAVOR,"@ptbrasil @LulaOficial NÃO ACEITAREMOS A GRANDE INJUSTIÇA , QUEREMOS #LulaLivre  PRO BRASIL VOLTAR A SORRIR #LulaPresidente"
A FAVOR,Eleitores de todo o Brasil: Eu apóio o boicote do PT às eleições de 2018 #LulaLivre #LulaInocente #LulaPresidente https://t.co/VkF5pGhJOm
A FAVOR,"@BlogdoNoblat Pois é, por isso tu gasta 50 por cento do teu tempo e energia pra falar mal dessa candidatura. Se é uma fraude por que tamanha preocupação? #LulaLivre"
A FAVOR,"@NiltonPT13 @dilmabr @LulaOficial É LULA E/OU QUEM ELE INDICAR!
O RESTO É JOGADA DA DIREITA!
#OBrasilFelizDeNovo 
#LulaLivre 
#LulaPresidente"
A FAVOR,"#ONUGARANTELULA  Já passou da hora das leis neste país voltarem a ser cumpridas. Chega de ditadores fascistas de toga, como Moro, Dallagnol, Cármen Lúcia, Barroso e Fux. Basta de injustiça! #LulaLivre"
A FAVOR,#ONUGaranteLula Meu presidente lindo #lulalivre #lulainocente #lulacandidato https://t.co/bUXgqVA4io
A FAVOR,"@LulaOficial @Haddad_Fernando #ONUgaranteLula 👏👏👏👏
54 milhoes de brasileiros je escolheram seu candidato. Nao há NADA que a midia golpista e o ""supremo e tudo"" possam fazer.!💪
#LulaLivre #LulaPresidente #MPN #FelizJueves https://t.co/jzvmsaTAqW"
A FAVOR,#LulaéHaddad Mulheres em luta contra o fascismo e por #LulaLivre #PaimSenador131 #AbigailSenadora651 https://t.co/3ffCHznAxz
A FAVOR,#AOVIVO - Gleisi Hoffmann e Fernando Haddad em coletiva de imprensa após visita à Lula! #LulaLivre https://t.co/IWQkjgSAcq
A FAVOR,"A militância do PT faz mais uma marcha em prol de um governo democrático. O ato começou no Setor Comercial Sul e segue para a rodoviária. Erika Kokay segue na marcha e chama todos para participarem! 
#Erikakokay #LulaLivre #UmaMulherdeCoragem #LulaPresidente #Erikakokay1331 https://t.co/2pGqAhvhBS"
A FAVOR,Não tem plano B! Até a ONU já declarou que @LulaOficial é candidato. O Brasil não pode desprezar o Estado de Direito #LulaLivre #LulaPresidente #ONUGaranteLula
A FAVOR,"Se não cumprir decisão da ONU, Brasil ficará marcado na história por violar Direitos Humanos. É preciso garantir os direitos de @LulaOficial para reafirmar a nossa democracia. #LulaLivre #LulaPresidente #ONUgaranteLula #LulaManuHaddad https://t.co/tdU0pVxQNq"
A FAVOR,Os mineiros estão com @LulaOficial! Somos a trincheira da democracia que irá lutar por #LulaLivre. #ONUGaranteLula #EquipePimentel
A FAVOR,"DECISÃO DA ONU NÃO É PALPITE, É LEI'.

#LulaLivre #LulaPresidente #ONUgaranteLula
#PauloRocha13 https://t.co/flAJD8bpQM"
A FAVOR,#ONUGARANTELULA Temos que acabar com a ditadura do judiciário no Brasil. A Constituição Federal diz que todo o poder emana do povo. #LulaLivre
A FAVOR,"@BlogdoNoblat Pelas escolhas não. Pelo Golpe e pela prisão do #LulaLivre , que vcs sabem muito bem como foi armado o circo, SIM."
A FAVOR,"#ONUGaranteLula ver pessoas falando mal da ONU ,fico aliviada por saber que estou do lado certo , muitos moleques nem sabe o que significa e pra que serve a ONU ! #LulaLivre #LulaPresidente"
A FAVOR,"Tem gente que reclama, mas, dez anos atrás bem que estava fazendo sua primeira viagem internacional, se matando de comprar produto gringo... 
E agora, com o dólar a 
R$ 4,21????  
#ONUGaranteLula #LulaLivre"
A FAVOR,#ONUGaranteLula Não podemos aceitar este golpe que está acabando com o Brasil. #LulaLivre
A FAVOR,Tratado exige justiça #ONUGaranteLula  #LulaLivre
A FAVOR,queremos Lula Livre #ONUGaranteLula  #LulaLivre
A FAVOR,"A reforma agrária deve voltar à pauta da sociedade e do governo federal! Estamos na luta com o MST da Bahia! #LulaPresidente #LulaLivre #SuícaDeputado #Eleições2018 #MST #EsseÉdaGente

Via Sobradinho Notícias https://t.co/eJFIGdY2Mt"
A FAVOR,#ONUGaranteLula Somos milhões de Lulas 😍.Fora golpistas #foramoro #foragolpistas #globolixo #lulalivre #lulacandidato #lulalibre
A FAVOR,"""A República Federativa do Brasil recebeu a oportunidade de reafirmar seu comprometimento com o Sistema de Direitos Humanos das Nações Unidas e com o Comitê de Direitos Humanos."" #ONUGaranteLula https://t.co/IoW1NyMB6D 

#Ulysses13077 #LulaLivre #LulaPresidente #SempreComVocê https://t.co/K8B6ALTGHd"
A FAVOR,"Mais uma vez sendo obrigado a ser mesário...
O candidato que propor o fim do serviço eleitoral FORÇADO tem meu voto, podia ser até o Lula, eu ia gritar #LulaLivre com toda a força do meu ser."
A FAVOR,"Nos anos 90, o Brasil assinou a resolução que obriga o país a seguir o que for determinado pelo Comitê da ONU. https://t.co/A4BOzdGwgY

#ONUGaranteLula #LulaLivre #LulaPresidente https://t.co/J9JWfOT6Ie"
A FAVOR,"Vou voltar, sei que ainda vou voltar ❤🎶🌟🕊 #Sabiá #ChicoBuarque #TomJobim #LulaLivre #ONUgaranteLula https://t.co/KCZWYsOZIZ"
A FAVOR,"“Estamos já flertando com o autoritarismo, e isso não é bom para nenhum país, para a democracia”, alega @czmartins, advogado de Lula. #ONUGaranteLula #LulaLivre #LulaPresidente https://t.co/Qqv9Zfz69j"
A FAVOR,Todo dia uma musica do Milton Nascimento diferente e eu chorando igual #LulaLivre #URSAL https://t.co/y6HKe1rgmJ
A FAVOR,"#LulaLivre 
📢ATENÇÃO 🤨🤨🤨
Boicote as Lojas Americanas ... por que 😼👿☠️🤬😡🧐
👇👇👇👇👇👇👇👇👇👇👇👇👇👇 https://t.co/uwFklvJTYB"
A FAVOR,#ONUGaranteLula a população exige #LulaLivre e #OBrasilFelizDeNovo / #BrasilFelizDeNovo https://t.co/Xcm3dcMw6o
A FAVOR,Os tratados internacionais de que o Brasil é signatário são de cumprimento absoluto e irrestrito. #OnuGaranteLula #Lulalivre #LulaPresidente https://t.co/b2du3tQiQP
A FAVOR,#ONUGaranteLula . o STF sabe do compromisso do Brasil com as normas internacionais. Não tem como negar o direito de Lula ser candidato. A população quer #LulaLivre e #LulaPresidente
A FAVOR,"#ONUGaranteLula ou cumpre o que foi determinado ou o Brasil não terá mais moral perante às outras nações .
#LulaLivre 
#LulaPresidente 
#BrasilFelizDeNovo"
A FAVOR,#ONUGaranteLula Roubaram mais  de 54 milhões de votos em 2016 e agora querem repetir a dose.Fora golpistas!! Lula livre é candidato.#foragolpistas #lulalivrejá #lulalivre #foramoro
A FAVOR,"""Brasil 'se obriga' a cumprir decisão da ONU sobre Lula"", diz Paulo Sérgio Pinheiro.
#LulaLivre #LulaPresidente #ONUgaranteLula
#PauloRocha13 https://t.co/PTk35VzhEg"
A FAVOR,"#ONUGaranteLula QUAL É O MEDO DA DIREITA? NÓS APENAS QUEREMOS LULA NA URNA. SE O CANDIDATO DE VOCÊS TEM CAPACIDADE QUE VEM ENFRENTAR O LULA NA URNA! 
#LulaLivre"
A FAVOR,Posso dizer com orgulho e segurança que a #ONUgaranteLula . Procure saber quem garante o golpe. #lulalivre #lulapresidente
A FAVOR,"DECISÃO DA ONU É PARA SE CUMPRIR, se não o Brasil ficará marcado na história por violar Direitos Humanos. 
“Não há opção. Se o Brasil não cumprir, está se colocando como um pária internacional”.
#LulaLivre #LulaPresidente #ONUgaranteLula
#PauloRocha13 https://t.co/i9TE39WcQx"
A FAVOR,"""Nos anos 90, o Brasil assinou a resolução que obriga o país a seguir o que for determinado pelo Comitê da ONU. #ONUGaranteLula https://t.co/gOh3dWRNxH  
#Ulysses13077 #UlyssesFaz #LulaLivre #LulaPresidente #SempreComVocê #MinasGerais"
A FAVOR,"TSE convoca sessão extraordinária para amanhã. Contra #LulaLivre todos os prazos são estuprados.
Essa gente que faz política com a toga não tem limites, vergonha, escrúpulos.
#ONUgaranteLula"
A FAVOR,Engraçado ver um cidadão se referir a um eleitor de Bolsonaro como bolsominion e usar a #LulaLivre mesmo com a justa condenação do ex presidente. Quem é minion mesmo?
A FAVOR,"""Prefiro ainda acreditar que o Brasil não vai usar as mesmas desculpas da ditadura"", respondeu @czmartins, advogado de @LulaOficial. 
https://t.co/XrAEybTBh5

#ONUGaranteLula #LulaLivre #LulaPresidente https://t.co/pfoXfTdamb"
A FAVOR,É oficial: eu to espalhando adesivos do @LulaOficial pela editora ❤️ #lulalivre https://t.co/htk01V6zTO
A FAVOR,"E ai @TSEjusbr ?

Deixa o homem fazer campanha 

O Povo quer #LulaCandidato #LulaLivre https://t.co/9X8T03zjuL"
A FAVOR,"#LulaLivre
#PrisãoParaQuemPrecisaDela e acho que a hora do juizeco está chegando! https://t.co/CCr65lfsLc"
A FAVOR,"Lula precisar voltar, para que tantos outros pobres realizem o sonho de estudar, como eu realizei o meu.  #LulaLivre #ONUGaranteLula"
A FAVOR,#ONUGaranteLula Acordem golpistas mais da metade do Brasil sabe que foi golpe em 2016 e agora em 2018.O mundo já sabe do golpe com supremo com tudo no Brasil.Vamos derrubar o golpe #lulalivre #foragolpistas #lulalivreja #lulalibre
A FAVOR,"Contra a perseguição política, midiática e judicial: LULA Presidente! #ONUGaranteLula #Lulalivre"
A FAVOR,"#LulaLivre
Não vai visitar o Bozzo ou o Alckimista? Nem o Álvaro Botox,nem o Meirela, o banqueiro Amoedo? Lula é o cara! https://t.co/gxj8WWSf21"
A FAVOR,"#EuSouLula #LulaLivre 
Ono garante #LulaPresidente"
A FAVOR,"""Ampliar a campanha: sem Lula é fraude!"" (Colunistas da COTV - Por Antônio Carlos) https://t.co/HAc5RoHzxV

#EleiçõesEmDitadura
#PlanCóndor2
#LulaLivre
#DitaduraDe2016"
A FAVOR,@LulaOficial lutou pelos brasileiros. Agora é a nossa hora de lutar para ter #LulaLivre e ver #OBrasilFelizDeNovo. #ONUGaranteLula  #EquipePimentel
A FAVOR,#ONUGaranteLula #LulaPresidente #LulaLivre Liminar a favor de Lula tem caráter obrigatório... - Veja mais em https://t.co/bfNxmqOIMr
A FAVOR,"Brasil como signatário tem que obedecer recomendação da ONU, se cumprir mais uma face do golpe será escancarada. #ONUGaranteLula #LulaHaddadPresidente #LulaLivre"
A FAVOR,Violação ao princípio da presunção de inocência. Respeitem a CF! #LulaManuHaddad #LulaLivreJá #LulaLivre #ONUGaranteLula
A FAVOR,#ONUGaranteLula  #LulaLivre   Respeitem a lei. Respeitem ao povo brasileiro. https://t.co/cw5VxCvFo4
A FAVOR,"Se não cumprir decisão da ONU, Brasil ficará marcado na história por violar Direitos Humanos. É preciso garantir os direitos de @LulaOficial para reafirmar a nossa democracia. #LulaLivre #LulaPresidente #ONUgaranteLula"
A FAVOR,"Faremos uma revolução neste país, e começará pelo judiciário golpista. #LulaLivre #LulaPresidente #ONUgaranteLula"
A FAVOR,@ptbrasiI Coisa boa isso....bem melhor q coxinha engordurada! #LulaLivre
A FAVOR,"#LulaLivre 

#LulaPresidente

30 ANOS DO 30 DE AGOSTO

#AoVivo | 

Marcha de 30 de agosto deixa a praça Santos Andrade rumo ao Centro Cívico https://t.co/tpBkCntvrE"
A FAVOR,A reforma agrária deve voltar à pauta da sociedade e do governo federal! Estamos na luta com o MST da Bahia! #LulaPresidente #LulaLivre #SuícaDeputado #Eleições2018 #MST #EsseÉdaGente https://t.co/Aq54XFftVw
A FAVOR,"Iniciamos nossas atividades desta quinta-feira, 30, em Fruta de Leite, dialogando com a população, alertando sobre as perdas de direitos que o golpe trouxe para a classe trabalhadora.  #TôComOPadre #PadreJoão1315 #NosRepresenta #FrutaDeLeite #Eleições2018  #LulaLivre https://t.co/5g8CwmuU6J"
A FAVOR,"@TSEjusbr #ONUGARANTELULA 
O povo sabe q Lula é preso político e quer #LulaLivre e #Lula13"
A FAVOR,"O povo afirma, o mundo já sabe e a ONU garante #LulaéInocente 
#ONUGaranteLula 

LIBERA O HOMI #LulaLivre"
A FAVOR,"#Lulalivre
vejam aí a pressão internacional chegando forte sobre o Brasil devido a prisão e censura ao #LulaPresidente https://t.co/fmADQJyuKx"
A FAVOR,Apenas pensando que #ONUgaranteLula #lulalivre #saudadesdomeuex
A FAVOR,@PTnoSenado Por eleições justas #LulaLivre #lulainocente #lulacandidatosim #LulaPresidente13 #ONUGaranteLula
A FAVOR,"Aquela hora que os ADVERSÁRIOS lêem e se fazem de loucos porque são obrigados a concordar!

#LulaLivre #LulaPresidente #OBrasilFelizDeNovo… https://t.co/WQz8JoThOj"
A FAVOR,um novo golpe não pode ser instalado no nosso país!#ONUGaranteLula #LulaéNossoCandidato #LulaLivre #LulaPresidente2018 https://t.co/nMOq292SQh
A FAVOR,Defender a liberdade do #LulaLivre é lutar pela Democracia do Brasil! https://t.co/Sy5w9L1RtW
A FAVOR,Nós só queremos as provas! Enquanto isso seguimos pedindo a liberdade do nosso presidente! #LulaLivre #ONUGaranteLula
A FAVOR,"Blog do Liberato - #Lulalivre!: QUE PAÍS É ESTE, EM QUE UMA PRISÃO DE CURITIBA É M... https://t.co/gupGFDZAuV"
A FAVOR,"Se não cumprir decisão da ONU, Brasil ficará marcado na história por violar Direitos Humanos. É preciso garantir os direitos de @LulaOficial para reafirmar a nossa democracia. #LulaLivre #LulaPresidente #ONUgaranteLula https://t.co/Vut81lmQgP"
A FAVOR,"@SHOCK1805 @PTnoSenado Tem razão Shock pra tu ter uma idéia do quanto somos bundões, dia 2 em Sampa vai acontecer outro #Lulalivre festival, e ninguém fala nada. Era pro País inteiro tomar conhecimento, encher aquele lugar de gente."
A FAVOR,"#Lulalivre #AGloboVetaEUVOTO #Resistencia144Dias
Site da gigante do varejo colocou à venda pelo menos 37 camisetas defendendo as posições do 
#bozo e outros... https://t.co/KD3DScOpM4"
A FAVOR,"#PiauíÉLula
#PovoComLula  #PovoComHaddad #ManuLulaHaddad❤
#LulaLivre
VAMOS RESISTIR ATÉ DEPOIS DO FIM! https://t.co/wEyzpI3HdM"
A FAVOR,"@AnaConcli @LulaOficial @STF_oficial @TSEjusbr Os Golpistas de preto não estão para brincadeira.....Para roubar nossos votos  e ferrar o Presidente #LulaLivre  trabalham até  nos sábados, domingos e feriados.  Já para o resto......."
A FAVOR,"#LulaLivre Flávio Tavares explica ao quadro ''Brasil, O Golpe, Uma Ópera do fim do ... https://t.co/62pvtxB9Om via @YouTube"
A FAVOR,"Daqui a pouco estaremos na Central do Brasil em mais um ato de campanha! Nos vemos lá às 16h? Vamos juntos espalhar a ideia de que o Rio de Janeiro pode ser mais feliz com #MarciaTiburiGovernadora! 
#MarciaTiburi13 #TáComLulaTáComMarcia
#LulaPresidente #LulaÉCandidato #LulaLivre https://t.co/s5pB3OaO7x"
A FAVOR,"ENQUANTO ISSO, LULA ESTÁ PRESO POR UMA REFORMA QUE NUNCA FOI FEITA NO TRIPLEX DE MORO! A FARSA DA #LavaJato 
#CondenaçãoDeLulaÉFraude
#LulaPresidente #LulaLivre https://t.co/yd9P3JnmDO"
A FAVOR,"Que lindeza: #LulaLivre #LulaPresidente 

&lt;3 https://t.co/bEEBPDHRjT"
A FAVOR,É a razão de viver deles! O que fizeram com relação aos robôs do Bozinario? Nada! Estão investigando o Amoeda e seu abuso do Poder Econômico? Nada! Só perseguição ao Lula e ao PT. #LulaLivre #LulaHaddadManuela https://t.co/Gpepb1o5YH
A FAVOR,@requiaopmdb Com mortadela e muito pão a juventude vai fazer revolução ✊🏼 #LulaLivre #LulaManuHaddad
A FAVOR,#LULALIVRE que diz né mores? https://t.co/biwkyKJVH3
A FAVOR,"A cobra fica na moita, só esperando para prejudicar o Lula. Ela faz alguma outra coisa na vida? #LulaLivre #LulaHaddadManuela https://t.co/cGDPqhyaEn"
A FAVOR,"Instituto DEMOCRACIA e LIBERDADE pede ao TSE para CENSURAR os institutos de pesquisa!!!!!!!

Perdeu!

Mas que o Brasil está ao CONTRÁRIO está!!

#LulaLivre 
#LulaPresidente13 https://t.co/Uqg4MKrbui"
A FAVOR,@deltanmd #LulaLivre a mídia internacional tá de olho @deltanmd
A FAVOR,Vídeo que todo mundo deveria assistir. #LulaLivre https://t.co/dvzir4KuHS
A FAVOR,"A terceirização piora as condições de trabalho, diminui o salário e os direitos do trabalhador. Temer concedeu aumento aos juízes e hoje os juízes do STF estão referendando a precarização do trabalho. Daremos a resposta nas urnas. #LulaLivre #RevogaTudo #TerceirizaNãoSTF"
A FAVOR,"Em Salinas, nessa quarta-feira, 29, nos reunimos com lideranças. Conversamos sobre a conjuntura política, prestamos contas na nossa atuação e reafirmamos o compromisso de continuar buscando melhorias para a população do Norte de Minas. #PadreJoão1315 #Eleições2018 #LulaLivre https://t.co/svngV84pjT"
A FAVOR,Boicote às Lojas Americanas. #LulaPresidente  #LulaLivre https://t.co/BwpRP1rOfr
A FAVOR,@juniornovarino @adspsp @limaynardes @LulaOficial Ou oito de presidência! #LulaLivre
A FAVOR,"- Não vou votar no Lula
- mas seu candidato é racista!
- Mas quem disse que Bolsonaro é meu candidato? 
- #LULALIVRE 
- ok! Vamos ter uma discussão inteligente...
- FASCISTA
- Q?
- RACISTA, HOMOFÓBICO
- mas ele falou que...
- GOLPISTAS
- mas pq você...
- VIVA A REVOLUÇÃO"
A FAVOR,"#LulaLivre
Conheça o xote https://t.co/teWDbVOORY"
A FAVOR,"Vamos economizar dinheiro, gente! A campanha será longa e dura! Água da torneira! #LulaLivre #LulaHaddadManuela https://t.co/XRB2Lmgv8D"
A FAVOR,"Lula é o zordon dos Power rangers 

#LulaLivre #ManuelaeHadadd

&lt;3 https://t.co/TECiQRZxyL"
