Classificacao,Text
A FAVOR,"Vamos expressar nossa indignação com a prisão injusta do #Lula. Hoje,  às 16h, todos juntos no tuitaço #ONUGaranteLula! Convido vocês, mineiros e mineiras, a participarem de mais essa batalha pelo nosso presidente @LulaOficial. #LulaLivre #LulaPresidente https://t.co/RlNQoIseaR"
A FAVOR,"Vocês aí que ficam discutindo entre #Lula ou #Bolsonaro, esquerda ou direita... O negócio aqui é Kimi para presidente!

#Kimi7 #Ferrari #ScuderiaFerrari #Presidente #Direita #Esquerda https://t.co/BqgvRjzRTR"
CONTRA,"A ignorância dos cidadãos, a desonestidade dos govs. sustentam a #corrupçãosistêmica, capaz de dar a liderança nas pesquisas a um dos maiores corruptos q o BR já teve, condenado em processo-crime.

#pazeluz 
#Lula https://t.co/6vBXicrPK2"
CONTRA,O último comício emocionsnte no Piauí foi um com Lula na Vila Irmã Dulce #Lula #Eleições2018
A FAVOR,"#Brasil Programa do PT apresenta #Haddad, mas protagonista ainda é #Lula #AfricanaRadio"
CONTRA,"8 anos de #FHC, 8 anos de #Lula, 5 anos de #Dilma e a culpa da mulher ganhar menos é do #Bolsonaro17."
CONTRA,"Enquanto o povo fica brigando entre #Bolsonaro o mito e #Lula inocente, a #MarinaSilva está formando o seu exército de clones. 😱😱😱 https://t.co/TuaFS9elgg"
A FAVOR,"A Lei Moro 

por Jota Camelo 
#sérgiomouro #alei #ato #oficio #inderterminado #lula #moro #perseguição #prisão #semprovas https://t.co/xvcavYn6be"
CONTRA,- Entre #LULA E #BOLSONARO Eu Prefiro Devolver O Brasil Pros Índios 😂😂💋
A FAVOR,É Isso que a gente precisa fazer....Com #Lula Candidato ou não...Precisamos mostrar essa farsa ao mundo....Porque eles podem tirar o #Lula de onde ele não deveria está.....Isso é uma farsa....E eles cada vez mais investigam sobre isso lá fora...Precisamos gritar.....#LulaLivre... https://t.co/cFpZ3bXxp1
A FAVOR,"""O comitê aponta que o Brasil tem que tomar todas as medidas necessárias para garantir o direito de @LulaOficial de ser candidato"", explica agora Celso Amorim sobre os direitos de #Lula nas eleições 2018. Acompanhe #NoJardimdaPolítica https://t.co/ZXz2TB7Jt7 https://t.co/vdsh9c9tkz"
CONTRA,"Só pra lembrar... em 12 de setembro de 1943 Adolf Hitler libertava Benito Bulssolini da prisão. 

É a mesma prática que o @cirogomes prometeu fazer com o #Lula.

Aí eu pergunto, quem é um projeto de Hitler? 🤔

#BolsonaroPresidente17 #Bolsonaro #bolsonaro2018 #BolsonaroNo1oTurno"
A FAVOR,"Lojas Americanas São ATACADAS pela Mídia Podre por Venderem Camisetas Pró #Bolsonaro e Anti #Lula
https://t.co/taaIFRyk1m https://t.co/pvkdrkD1wD"
A FAVOR,"Dá uma olhada nessa Lula à Provençal, salteada no alho e azeite extra virgem :9 Com double Aperol para acompanhar então?! É uma beleza!  
#donabeleza #sbo #lula #double #aperol #quintaup https://t.co/qJjqSrt5EY"
CONTRA,"TSE pode julgar nesta sexta-feira participação de Lula na TV #julgamento #Lula #PT #STF
https://t.co/P9DydEud79 https://t.co/P9DydEud79"
CONTRA,TSE pode julgar nesta sexta-feira participação de Lula na TV #julgamento #Lula #PT #STF https://t.co/04uf0SaoQf https://t.co/zMLqpadNSN
A FAVOR,"ATENÇÃO: Questionada por jornalistas, Raquel Dodge afirma que ""é importante definir o quanto antes"" se o ex-presidente Lula pode participar da propaganda eleitoral. Ela disse que ""espera que o caso seja julgado amanhã"" no TSE #RaquelDodge #Lula #TSE"
A FAVOR,Segue o líder! #Haddad #Lula #LulaLivre https://t.co/kwjmkmJs9A
CONTRA,"Candidatura do petista é alvo de 16 impugnações, todas baseadas na Lei da Ficha Limpa. 

#lula #tse #tv #política #dgabc https://t.co/FjgE9WPuHm"
CONTRA,@DeputadoFederal Sempre impulsionam #Lula mais alto! #LulaLivreJá
A FAVOR,"Meu sangue gela sempre que vejo essa foto.
@ptbrasil  #LulaPresidente #LulaLivreJá  #Lulaço  #Lula 
#Lula2018 https://t.co/llLm1cJsVg"
A FAVOR,"@g1 #Lula , terror , do terro !"
A FAVOR,"Reestalão da nova Tenda Lula Livre na Praça Costa Pereira, Centro de Vitória
Conheca as ideias , escreva carta, assine manifesto Lula Nobel da Paz.
PESQUISAS , NAO MAIS DIVULGADAS, CONFIRMAM: Lula tem mais votos que tidos is demais juntos. 
#Lula"
A FAVOR,Ministro do TSE nega pedido para tirar o nome de Lula de pesquisas eleitorais → https://t.co/yN94euCGdh #eleicoes2018 #Lula #TSE https://t.co/GNGU1VprDd
A FAVOR,Defesa de #Lula tem últimas horas para rebater ação da #PGR contra candidatura https://t.co/vTblcwddIA
A FAVOR,"Nem tudo é estado de exceção no #Brasil de hoje.
Ministro do TSE nega pedido para excluir #Lula de pesquisas - Sul 21 https://t.co/PqTzkZ2mJf via @jornalsul21
#LulaPresoPolítico #LulaInocente #LulaLivre #LulaPresidente #Lula2018 #OBrasilFelizDeNovo"
A FAVOR,O #Lula fez um trabalho extra colocando voz no Adoniran Barbosa @CesarTralli ??? Kkkkkkkkkkk
CONTRA,"Quanto mais o #PSDB do @geraldoalckmin ataca @jairbolsonaro mais o candidato a Governador de Sp @jdoriajr perde voto, fica a dica, vai perder os dois! Agora eu pergunto, tem coragem de atacar o #PT chamar o #Lula de Ladrão?  Ou vc tem teto de vidro? 

#BolsonaroPresidente17"
A FAVOR,"Pesquisa sobre cenários envolvendo o PT e transferência de votos

#Eleicoes2018 #Lulalivre #Lula #haddad https://t.co/QW2k1cAfim"
A FAVOR,#Eleições2018 Ministro do TSE nega pedido para excluir #Lula de pesquisas – Money Times https://t.co/PgxMWstqGt
A FAVOR,"Capivariando 39 – Conheça os Vices: Fernando Haddad
https://t.co/ooHNs0jckm #eleicoes2018 #haddad #vice #pt #Lula https://t.co/pzLjieCqx2"
A FAVOR,"Ao #TSE, advogados de #Lula culpam Tribunal da Lava Jato por 'instabilidade' e pedem… https://t.co/ui7pc9RcrP"
A FAVOR,"@deltanmd A Soc Civil vai ter a chance de ouvir suas explicações pq o #MPF e Moro proibiram a vistoria das Reformas (INEXISTENTES) no tríplex da OAS no Guarujá??

Sabia que pela Lei, o Foro de Origem q #Lula deveria ser julgado, eh em SP??

Existe no CPP e na CF o CRIME Ato indeterminado??"
A FAVOR,"@deltanmd Perguntar não ofende:

Por acaso o Sr. conhece a Lei 12850/13, artigo 4, da Delaçao Premiada??

Ficou sabendo que o juiz Ricardo Coutinho da 13a. Vara Criminal de BSB, absolveu #Lula baseado nesta Lei, que o #MPF e Moro IGNORARAM para condená-lo??

Como explica isso??"
CONTRA,"Tem Moral na Quebrada 🎮🔒🔐🔓#PJL
#Lula
#PT
#Crime kkkk https://t.co/5np2MLnrWc"
A FAVOR,"@GeorgMarques @Rosesanme Voto Addadd também! Sempre 13!
#Lula livre e presidente do Brasil, já!"
CONTRA,A forma mais simples de debater com cristão que apoia Bolsonaro é falar de Jesus. #Bolsonaro #eleicoes2018 #Lula #amor #cristianismo #Jesus
A FAVOR,Lojas Americanas vendem camisetas pró-Bolsonaro e anti-Lula - #Lula https://t.co/JfYe3lu4BX
CONTRA,"@TSEjusbr Na minha opinião, não pode, DEVE TIRAR #LULA do horário eleitoral. https://t.co/DslhndDJmy"
CONTRA,"@o_antagonista Os Antagoniados do #bolsonaro  além de ignorantes são mentirosos. A questão do TSE sobre propaganda na TV é só questão de tempo. Como candidato Lula pode ficar 75% do tempo no vídeo, já como apoiador do #Haddad pode ficar 25% do tempo. Então burraldos, vai ter #Lula na TV"
A FAVOR,Camisetas de #Lula e da coisa boicote total se lascou Lojas Americanas kkkk mostrou s verdadeira face do fascismo! https://t.co/Lb10UelIld
A FAVOR,Defesa de Lula tem últimas horas para rebater ação da PGR contra candidatura → https://t.co/xkxZdj9xn8 #eleicoes2018 #lula https://t.co/aWMUJrGCHY
A FAVOR,"@JotaInfo Se o TSE aplicar mais um golpe no #lula, o TSE entra na fila dos prédios que devem ser incendiado pela população que não aceita golpes de canalhas que recebem dinheiro publico pra atacar os direitos dos cidadãos conquistados com sangue."
A FAVOR,@ritabarzoto @MidiaNINJA Isso não é verbo. Estude vote #lula que dava bolsa de estudos
A FAVOR,E o #PT está de volta à time line com suas mentiras. Tanto  a favor de #Lula tanto qto contra qualquerboutro candidato #LULANAOÉCANDIDATO #LULAÉPRISIONEIRO
A FAVOR,"@LulaOficial Sai fora seu comedia... enganação nao se faz mais aqui nesse país. Vcs assaltaram a nação usando da boa fé do povo. Queremos honestos na política, #Lula e cia nunca foram."
A FAVOR,"OS OPOSITORES DE LULA: 1 - OS EGOÍSTAS. 2 - OS HIPÓCRITAS. 3 - OS PERVERSOS. 4 - OS INCULTOS. 5 - OS FASCISTAS 6 - OS ESCRAVOCRATAS, O RESTANTE 60% VOTAM #LULA/HADDAD/HADDAD/LULA!"
A FAVOR,"@JotaInfo Julgar...??..kkkkkkk..tenho que rir...o certo é "" #Vai proibir o #Lula de tudo"" kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
Tá tudo escrito desde 2013.......kkkkkkkkkkk
O #Patetinha num erra uma..kkkkkkkkk.. https://t.co/xNRLcg977c"
CONTRA,TSE pode julgar amanhã participação de Lula na TV - #Lula https://t.co/No0OkRPe05
CONTRA,TSE pode julgar na sexta-feira o registro de candidatura de Lula - #Lula https://t.co/Nvj538I4Q4
A FAVOR,"Para tirar #Lula da eleição, Tribunal convoca sessão extraordinária 17 dias antes do prazo https://t.co/uSY9dLSuIv"
A FAVOR,"Ministro @gilmarmendes , o  #Lula não é uma suposta vítima, ele é REALMENTE uma vítima. Tivesse o judiciário agido SOMENTE dentro das leis, não precisaríamos viver este caos. O @STF_oficial chancelou as arbitrariedades da #Lavajato, do @MPF_PGR e da @policiafederal. 
#LulaLivre"
A FAVOR,"@VIOMUNDO Só não combinaram com o povo,que é quem de fato detém o poder. 
#lula presidente de novo 
#lulalivrejá"
A FAVOR,"E aí, #TSE, haverá tempo de analisar a defesa de #Lula no curto prazo de hoje p amanhã? Rompa com o golpismo, TSE!"
CONTRA,Poe essa na conta do #Lula @dilmabr @FHC Collor e aqueles que queriam “democracia”! https://t.co/QcOEzoZfIt
A FAVOR,"@EstadaoPolitica Que país surreal nos tornamos ! Um presidiário como o #Lula participar de campanha eleitoral não deveria ser discutido nem no boteco da esquina, por ser tão óbvio. No entanto, nossa mais alta corte ainda se enrola e discute essa aberração. Viramos a piada do mundo!"
CONTRA,@Estadao @colunadoestadao Será que o #Lula votaria no #Haddad?
A FAVOR,"@IvanReis_11 Que país surreal nos tornamos ! Um presidiário como o #Lula participar de campanha eleitoral não deveria ser discutido nem no boteco da esquina, por ser tão óbvio. No entanto, nossa mais alta corte ainda se enrola e discute essa aberração. Viramos a piada do mundo!"
A FAVOR,"@revistavoto Que país surreal nos tornamos ! Um presidiário como o #Lula participar de campanha eleitoral não deveria ser discutido nem no boteco da esquina, por ser tão óbvio. No entanto, nossa mais alta corte ainda se enrola e discute essa aberração. Viramos a piada do mundo!"
A FAVOR,"@radiobandnewsfm Que país surreal nos tornamos ! Um presidiário como o #Lula participar de campanha eleitoral não deveria ser discutido nem no boteco da esquina, por ser tão óbvio. No entanto, nossa mais alta corte ainda se enrola e discute essa aberração. Viramos a piada do mundo!"
A FAVOR,"#Hiluluk (Jesus) , #Dalton ( #Lula) , #Wapol (bostanaro) e a tropa de #Wapol (mulas que votam)

#One #Piece #ep86 #Anime https://t.co/Hflt3zoIjP"
CONTRA,"@exame #Lula 13
PT Rumo ao Penta.
Melhor já ir se acostumando!"
A FAVOR,@NovoLauropro @tijolaco E segue o GOLPE Parlamentar / Judiciário de Estado na cara dura e sem escrúpulos! #LulaCandidato #Lulalivre #Lula
CONTRA,"Precisa desenhar pra entender...
#Bolsonaro #JairBolsonaro #BolsonaroNoJornalNacional #lula @jairbolsonaro #eleicoes2018 https://t.co/kB7lWv9U8a"
A FAVOR,Lojas Americanas vendem camisetas pró-Bolsonaro e anti-Lula → https://t.co/MAmzpvnGUb #Lojasamericanas #Bolsonaro #Lula https://t.co/K9GBJnZo1p
CONTRA,"#Lula aparecendo nos TT's Brasil. Será que efeito retardado do #MensalinhoDoTwitter? Dizem que não se chuta cachorro morto, então não vou tuitar nada contra ele. #BolsonaroPresidente17 #Segue o baile!"
A FAVOR,"Lojas Americanas São ATACADAS
pela Mídia Podre por Venderem
Camisetas Pró #Bolsonaro e Anti #Lula
https://t.co/oRZSzWHpRB https://t.co/HjXA98ObaV"
A FAVOR,"Se os petistas for fazer boicote de lojas que é anti Lula, como Havan, #lojasAmericanas,  dentre outras, vão ficar sem comprar nada, e nem consumir, pq os maiores produtores rurais, e empresários são anti #Lula"
A FAVOR,um sereio lindo desse #OBrasilFelizDeNovo #Lula #LulaPresidente #LulaLivre #LulaLivreJá https://t.co/9W2ViquuTs
A FAVOR,"#Haddad na #RedeTiradentesFM disse que o #Lula jamais se venderiam por um apartamento de 5° categoria.

TRIPLEX DE QUINTA CATEGORIA!

""Me dê papai, me dê""
🤣🤣🤣🤣🤣🤣🤣🤣
@RTiradentes"
CONTRA,E o @LulaOficial bandido segue preso. Oh Glória!  #Bomdia #Lula #LulaSeguePreso #QuintaDetremuraSDV
A FAVOR,Pesquisa DataPoder360 coloca o potencial de votos de Haddad em 34%. Alckmin continua empacado e sua performance no JN foi ruim. As suas chances de segundo turno continuam baixas. #bolsonaro #lula #eleições2018 #mercados #ibovespa #dólar https://t.co/GfJsemO0XW  via @YouTube
A FAVOR,Pesquisa DataPoder360 coloca o potencial de votos de Haddad em 34%. Alckmin continua empacado e sua performance no JN foi ruim. As suas chances de segundo turno continuam baixas. #bolsonaro #lula #eleições2018 #mercados #ibovespa #dólar https://t.co/GfuMWTwqJm via @YouTube
A FAVOR,@Alex_spa_ @duploexpresso @romulusmaya @romulusmaya você foi mesmo muito MACHO em escancarar sua escolha pra todo mundo. Admiro ainda mais o DE. Vamo em frente e obrigado por toda a força q ces nos dão nessa luta por #Lula
CONTRA,Estou aqui de boas só esperando a entrevista de #Lula no #JornalNacional uhauhahuahuahuahuahuahuaahuuhahuahua
A FAVOR,"#TSE poderá antecipar julgamento da candidatura de #Lula em sessão extraordinária na próxima sexta-feira, 31.08.2018.   
    
A presidente do Tribunal Superior... https://t.co/RYsczBkf1q"
A FAVOR,Prazo para advogados de #Lula entregarem defesa ao #TSE acaba nesta quinta-feira https://t.co/5VUBuru85b
A FAVOR,"A campanha #LulaPresidente convida os milhões de Lulas pelo país a ecoarem a voz do maior presidente da nossa história! Vamos trazer #Lula de volta!
#LulaLivreJá
#FreeLula
#OBrasilFelizDeNovo https://t.co/CZo1beDMoR"
A FAVOR,"Os candidatos nessas #Eleicoes2018 tem estado sobre pressões pelo fato do #Lula esta preso e o vêem como o cara da base dentre os Partidos como toldo porém,as decisões do #STE é quem vai decidir os direitos do Ex-Presidente.. https://t.co/enk7x4Mu91"
CONTRA,A que ponto chegamos ou onde chegaremos? A marca #Lula morreu! #LulaPreso e muito preso! https://t.co/cpDZLiHbUH
CONTRA,"Só no Brasil que acontece essas coisas!!!
#Lula está preso mas é candidato a presidência da república, simplesmente não tem lógica.

Imagina só a população sendo representada por um ficha suja.

Que mérito o povo pode ter ao eleger uma pessoa com com todos esses antencendetes? https://t.co/9QDQgSr9KJ"
CONTRA,Aí sou obrigado a discordar do #GeraldoAlckmin ... um exemplo claro é o #Lula ... tá mandando e desmandando na facção dele de dentro do presídio. https://t.co/SUsBesdW15
CONTRA,"Vídeo antigo mais vale apena ver denovo.
Valdivia ex-jogador do Palmeiras mandando um chupa #lula kkk
#Lulaepresidiario https://t.co/YmMJ9xPEt6"
